employee_id,date_id,region_id,service_response_time_hours,regulatory_compliance_rate,support_ticket_resolution_rate,system_uptime_percentage,operational_efficiency_score,capex_to_revenue_ratio,employee_productivity_score,automation_rate
50,2023-07-02,1,2.3,0.987,0.946,99.93,86.7,18.4,85.5,0.75
56,2023-07-03,1,2.3,1.0,0.961,99.99,88.1,18.7,86.9,0.762
77,2023-07-04,1,2.4,1.0,0.98,99.99,90.5,19.2,89.2,0.783
92,2023-07-05,1,2.2,0.965,0.925,99.5,84.8,18.0,83.6,0.734
16,2023-07-06,1,2.4,1.0,0.98,99.99,90.2,19.1,88.9,0.78
27,2023-07-07,1,2.4,1.0,0.97,99.99,88.9,18.8,87.7,0.769
56,2023-07-08,1,2.2,0.963,0.923,99.5,84.6,17.9,83.4,0.731
22,2023-07-09,1,2.2,0.95,0.903,99.5,82.8,17.5,81.6,0.716
3,2023-07-10,1,2.3,0.992,0.951,99.99,87.2,18.4,86.0,0.754
86,2023-07-11,1,2.2,0.959,0.919,99.5,84.3,17.8,83.1,0.729
72,2023-07-12,1,2.4,1.0,0.98,99.99,90.2,19.1,89.0,0.78
14,2023-07-13,1,2.3,1.0,0.966,99.99,88.5,18.7,87.3,0.766
13,2023-07-14,1,2.4,1.0,0.98,99.99,92.0,19.4,90.7,0.796
66,2023-07-15,1,2.3,1.0,0.963,99.99,88.2,18.6,87.0,0.763
1,2023-07-16,1,2.2,0.961,0.922,99.5,84.5,17.8,83.3,0.731
24,2023-07-17,1,2.2,0.966,0.926,99.5,84.9,17.9,83.7,0.734
43,2023-07-18,1,2.3,1.0,0.971,99.99,89.0,18.7,87.7,0.77
77,2023-07-19,1,2.2,0.95,0.908,99.5,83.2,17.5,82.1,0.72
24,2023-07-20,1,2.3,0.986,0.945,99.86,86.7,18.2,85.5,0.75
75,2023-07-21,1,2.2,0.965,0.925,99.5,84.7,17.8,83.6,0.733
5,2023-07-22,1,2.3,0.985,0.944,99.74,86.6,18.2,85.4,0.749
55,2023-07-23,1,2.2,0.961,0.921,99.5,84.4,17.7,83.2,0.73
77,2023-07-24,1,2.3,1.0,0.964,99.99,88.3,18.5,87.1,0.764
11,2023-07-25,1,2.4,1.0,0.979,99.99,89.8,18.8,88.5,0.777
93,2023-07-26,1,2.3,0.983,0.942,99.5,86.3,18.1,85.1,0.747
96,2023-07-27,1,2.4,1.0,0.98,99.99,92.8,19.5,91.5,0.803
61,2023-07-28,1,2.3,0.999,0.957,99.99,87.7,18.4,86.5,0.759
22,2023-07-29,1,2.3,0.998,0.957,99.99,87.7,18.4,86.5,0.759
46,2023-07-30,1,2.4,1.0,0.98,99.99,93.4,19.5,92.1,0.808
28,2023-07-31,1,2.3,1.0,0.969,99.99,88.8,18.6,87.6,0.769
78,2023-08-01,1,2.3,1.0,0.98,99.99,89.9,18.8,88.7,0.778
78,2023-07-02,2,1.8,0.98,0.946,99.5,83.7,18.9,81.3,0.672
72,2023-07-03,2,1.8,0.981,0.947,99.5,83.8,18.9,81.4,0.672
25,2023-07-04,2,1.8,1.0,0.968,99.99,85.6,19.3,83.1,0.687
1,2023-07-05,2,1.8,0.971,0.938,99.5,82.9,18.7,80.6,0.666
67,2023-07-06,2,1.8,1.0,0.979,99.99,86.6,19.5,84.1,0.695
78,2023-07-07,2,1.8,1.0,0.966,99.99,85.4,19.2,83.0,0.686
16,2023-07-08,2,1.8,0.991,0.957,99.75,84.6,19.0,82.2,0.679
90,2023-07-09,2,1.8,0.973,0.94,99.5,83.1,18.7,80.7,0.667
66,2023-07-10,2,1.8,0.985,0.951,99.5,84.1,18.9,81.7,0.675
20,2023-07-11,2,1.7,0.969,0.935,99.5,82.7,18.6,80.4,0.664
1,2023-07-12,2,1.8,0.991,0.957,99.76,84.6,19.0,82.2,0.679
22,2023-07-13,2,1.8,0.988,0.954,99.5,84.4,18.9,82.0,0.677
29,2023-07-14,2,1.8,1.0,0.966,99.99,85.4,19.1,83.0,0.686
73,2023-07-15,2,1.8,0.992,0.958,99.89,84.7,19.0,82.3,0.68
47,2023-07-16,2,1.8,1.0,0.967,99.99,85.5,19.1,83.0,0.686
53,2023-07-17,2,1.9,1.0,0.98,99.99,88.7,19.8,86.1,0.712
48,2023-07-18,2,1.8,1.0,0.971,99.99,85.8,19.2,83.4,0.689
47,2023-07-19,2,1.8,1.0,0.98,99.99,87.2,19.5,84.7,0.7
51,2023-07-20,2,1.8,0.976,0.942,99.5,83.3,18.6,81.0,0.669
5,2023-07-21,2,1.8,0.992,0.958,99.89,84.7,18.9,82.3,0.68
18,2023-07-22,2,1.9,1.0,0.98,99.99,90.6,20.2,88.0,0.727
66,2023-07-23,2,1.8,1.0,0.973,99.99,86.0,19.2,83.6,0.691
50,2023-07-24,2,1.9,1.0,0.98,99.99,89.4,19.9,86.8,0.718
3,2023-07-25,2,1.8,1.0,0.966,99.99,85.4,19.0,83.0,0.686
8,2023-07-26,2,1.8,1.0,0.98,99.99,86.9,19.4,84.4,0.697
26,2023-07-27,2,1.9,1.0,0.98,99.99,88.2,19.6,85.7,0.708
