network_element_id,region_id,date_id,hour,last_updated_ts,uptime_seconds,downtime_seconds,calls_attempted,calls_dropped,packets_sent,packets_lost,bandwidth_capacity_mb,bandwidth_used_mb,outage_minutes,repair_minutes,availability_percent,dropped_call_rate,latency_ms,latency_ms_p95,packet_loss_percent,bandwidth_utilization_percent,mttr_hours
1,1,2023-08-01,0,2023-08-01,86201,199,1190,10,168915,132,1000,815,3.316666666666667,133,99.77,0.86,43.6,52.1,0.08,81.5,2.23
2,2,2023-08-01,0,2023-08-01,86151,249,478,5,244753,212,1000,508,4.15,133,99.71,1.24,48.6,55.6,0.09,50.87,2.22
3,3,2023-08-01,0,2023-08-01,86214,186,1196,11,186214,187,1000,597,3.1,134,99.79,0.99,43.6,54.5,0.1,59.74,2.23
4,4,2023-08-01,0,2023-08-01,86256,144,1088,12,198027,224,1000,634,2.4,130,99.83,1.17,44.5,64.2,0.11,63.49,2.18
5,5,2023-08-01,0,2023-08-01,86079,321,501,5,129946,92,1000,707,5.35,119,99.63,1.05,48.9,68.2,0.07,70.7,1.99
6,6,2023-08-01,0,2023-08-01,86148,252,691,6,215027,248,1000,553,4.2,135,99.71,0.92,46.8,66.6,0.12,55.33,2.26
7,7,2023-08-01,0,2023-08-01,86191,209,921,9,90837,110,1000,727,3.4833333333333334,126,99.76,1.07,44.1,50.5,0.12,72.78,2.1
8,8,2023-08-01,0,2023-08-01,86142,258,745,8,179310,160,1000,674,4.3,93,99.7,1.11,43.4,56.6,0.09,67.43,1.55
9,9,2023-08-01,0,2023-08-01,86220,180,800,5,144083,86,1000,701,3.0,129,99.79,0.68,50.3,64.9,0.06,70.19,2.17
10,10,2023-08-01,0,2023-08-01,86329,71,411,2,162757,166,1000,555,1.1833333333333333,131,99.92,0.52,47.1,55.8,0.1,55.51,2.2
1,1,2023-08-02,0,2023-08-02,86163,237,858,9,232908,223,1000,649,3.95,88,99.73,1.1,46.1,63.6,0.1,64.98,1.47
2,2,2023-08-02,0,2023-08-02,86229,171,1128,10,177400,162,1000,602,2.85,105,99.8,0.96,42.5,48.3,0.09,60.24,1.75
3,3,2023-08-02,0,2023-08-02,86199,201,962,5,236888,121,1000,739,3.35,145,99.77,0.61,44.6,54.6,0.05,73.96,2.42
4,4,2023-08-02,0,2023-08-02,86242,158,1060,6,236341,139,1000,802,2.6333333333333333,146,99.82,0.65,45.9,60.1,0.06,80.21,2.44
5,5,2023-08-02,0,2023-08-02,86330,70,1133,10,181174,161,1000,716,1.1666666666666667,100,99.92,0.95,40.5,54.8,0.09,71.69,1.67
6,6,2023-08-02,0,2023-08-02,86135,265,798,6,174347,97,1000,749,4.416666666666667,121,99.69,0.87,42.8,48.7,0.06,74.92,2.02
7,7,2023-08-02,0,2023-08-02,86307,93,1054,9,218249,107,1000,709,1.55,105,99.89,0.86,44.5,59.3,0.05,70.92,1.76
8,8,2023-08-02,0,2023-08-02,86266,134,838,9,118949,80,1000,628,2.2333333333333334,110,99.85,1.19,45.8,53.1,0.07,62.85,1.85
9,9,2023-08-02,0,2023-08-02,86126,274,962,12,181435,157,1000,614,4.566666666666666,99,99.68,1.27,37.2,44.7,0.09,61.41,1.66
10,10,2023-08-02,0,2023-08-02,86222,178,578,5,156474,72,1000,733,2.966666666666667,112,99.79,0.96,43.7,59.8,0.05,73.36,1.87
1,1,2023-08-03,0,2023-08-03,86277,123,827,10,114919,121,1000,684,2.05,114,99.86,1.26,51.5,63.9,0.11,68.46,1.92
2,2,2023-08-03,0,2023-08-03,86192,208,775,7,151856,90,1000,868,3.466666666666667,135,99.76,0.97,44.5,56.6,0.06,86.81,2.26
3,3,2023-08-03,0,2023-08-03,86199,201,425,3,160809,94,1000,695,3.35,67,99.77,0.83,44.2,51.0,0.06,69.5,1.12
4,4,2023-08-03,0,2023-08-03,86311,89,644,7,186200,125,1000,820,1.4833333333333334,108,99.9,1.1,42.8,60.1,0.07,82.06,1.81
5,5,2023-08-03,0,2023-08-03,86287,113,632,7,106199,39,1000,514,1.8833333333333333,130,99.87,1.16,33.5,41.1,0.04,51.42,2.17
6,6,2023-08-03,0,2023-08-03,86155,245,617,5,208224,203,1000,671,4.083333333333333,133,99.72,0.85,38.6,46.7,0.1,67.19,2.23
7,7,2023-08-03,0,2023-08-03,86253,147,689,6,205770,182,1000,690,2.45,125,99.83,0.97,45.3,53.3,0.09,69.0,2.09
8,8,2023-08-03,0,2023-08-03,86103,297,961,12,243558,153,1000,661,4.95,147,99.66,1.3,42.5,53.9,0.06,66.17,2.45
9,9,2023-08-03,0,2023-08-03,86191,209,605,6,156217,113,1000,637,3.4833333333333334,158,99.76,1.14,45.6,55.3,0.07,63.76,2.64
10,10,2023-08-03,0,2023-08-03,86228,172,1147,11,160556,143,1000,734,2.8666666666666667,144,99.8,0.99,57.3,68.7,0.09,73.41,2.41
1,1,2023-08-04,0,2023-08-04,86174,226,629,4,154338,157,1000,626,3.7666666666666666,87,99.74,0.72,57.8,68.1,0.1,62.68,1.47
2,2,2023-08-04,0,2023-08-04,86264,136,1188,14,94382,56,1000,718,2.2666666666666666,170,99.84,1.21,44.1,52.9,0.06,71.89,2.85
3,3,2023-08-04,0,2023-08-04,86270,130,1125,10,91014,72,1000,671,2.1666666666666665,125,99.85,0.96,34.4,40.2,0.08,67.18,2.09
4,4,2023-08-04,0,2023-08-04,86307,93,623,3,145609,130,1000,716,1.55,117,99.89,0.57,44.3,59.0,0.09,71.68,1.96
5,5,2023-08-04,0,2023-08-04,86192,208,563,5,242095,143,1000,686,3.466666666666667,84,99.76,1.04,50.7,62.2,0.06,68.61,1.41
6,6,2023-08-04,0,2023-08-04,86118,282,699,9,238460,215,1000,877,4.7,159,99.67,1.39,43.7,58.9,0.09,87.79,2.65
7,7,2023-08-04,0,2023-08-04,86285,115,619,5,239143,248,1000,716,1.9166666666666667,137,99.87,0.91,40.1,57.8,0.1,71.61,2.28
8,8,2023-08-04,0,2023-08-04,86397,3,1170,12,119851,60,1000,736,0.05,122,100.0,1.06,37.0,42.5,0.05,73.7,2.04
9,9,2023-08-04,0,2023-08-04,86225,175,902,11,188891,113,1000,685,2.9166666666666665,120,99.8,1.24,60.0,72.5,0.06,68.55,2.0
10,10,2023-08-04,0,2023-08-04,86218,182,1193,16,232658,254,1000,768,3.033333333333333,108,99.79,1.41,41.9,48.1,0.11,76.85,1.81
1,1,2023-08-05,0,2023-08-05,86117,283,835,4,107621,94,1000,681,4.716666666666667,104,99.67,0.59,45.0,64.6,0.09,68.11,1.74
2,2,2023-08-05,0,2023-08-05,86204,196,671,6,80355,44,1000,882,3.2666666666666666,127,99.77,1.03,52.6,72.3,0.06,88.29,2.12
3,3,2023-08-05,0,2023-08-05,86216,184,441,5,97008,79,1000,624,3.066666666666667,81,99.79,1.14,48.7,57.5,0.08,62.49,1.36
4,4,2023-08-05,0,2023-08-05,86177,223,488,3,94831,103,1000,796,3.716666666666667,132,99.74,0.71,43.5,49.0,0.11,79.7,2.2
5,5,2023-08-05,0,2023-08-05,86059,341,586,4,234873,194,1000,699,5.683333333333334,78,99.61,0.85,36.1,54.1,0.08,69.96,1.31
6,6,2023-08-05,0,2023-08-05,86270,130,475,5,131825,78,1000,694,2.1666666666666665,137,99.85,1.16,52.7,63.8,0.06,69.42,2.29
7,7,2023-08-05,0,2023-08-05,86227,173,1164,19,209283,166,1000,759,2.8833333333333333,95,99.8,1.64,45.1,60.0,0.08,75.96,1.59
8,8,2023-08-05,0,2023-08-05,86097,303,638,4,164013,105,1000,750,5.05,73,99.65,0.74,50.8,62.6,0.06,75.05,1.23
9,9,2023-08-05,0,2023-08-05,86174,226,509,6,125842,121,1000,771,3.7666666666666666,152,99.74,1.29,50.9,67.3,0.1,77.11,2.54
10,10,2023-08-05,0,2023-08-05,86356,44,420,3,172658,133,1000,647,0.7333333333333333,137,99.95,0.94,50.8,58.1,0.08,64.7,2.3
1,1,2023-08-06,0,2023-08-06,86240,160,1136,12,209105,145,1000,772,2.6666666666666665,143,99.82,1.1,37.2,55.0,0.07,77.23,2.39
2,2,2023-08-06,0,2023-08-06,86271,129,473,3,199497,209,1000,873,2.15,110,99.85,0.66,48.4,63.5,0.11,87.37,1.84
3,3,2023-08-06,0,2023-08-06,86266,134,1199,13,159181,152,1000,753,2.2333333333333334,93,99.85,1.09,38.3,50.0,0.1,75.31,1.56
4,4,2023-08-06,0,2023-08-06,86315,85,1179,9,189749,154,1000,906,1.4166666666666667,107,99.9,0.77,45.8,57.2,0.08,90.6,1.79
5,5,2023-08-06,0,2023-08-06,86275,125,931,6,155658,98,1000,661,2.0833333333333335,140,99.86,0.74,54.2,63.4,0.06,66.17,2.34
6,6,2023-08-06,0,2023-08-06,86258,142,965,12,112440,43,1000,593,2.3666666666666667,123,99.84,1.32,46.5,53.7,0.04,59.32,2.07
7,7,2023-08-06,0,2023-08-06,86239,161,955,7,170927,131,1000,620,2.683333333333333,86,99.81,0.8,50.6,69.7,0.08,62.02,1.44
8,8,2023-08-06,0,2023-08-06,86256,144,665,7,156383,98,1000,603,2.4,139,99.83,1.07,60.2,79.0,0.06,60.35,2.33
9,9,2023-08-06,0,2023-08-06,86251,149,1182,12,175082,137,1000,702,2.4833333333333334,100,99.83,1.07,42.0,50.3,0.08,70.21,1.67
10,10,2023-08-06,0,2023-08-06,86197,203,520,5,206353,219,1000,725,3.3833333333333333,88,99.77,1.02,44.2,53.6,0.11,72.59,1.47
1,1,2023-08-07,0,2023-08-07,86320,80,625,5,116476,38,1000,815,1.3333333333333333,136,99.91,0.84,40.1,49.1,0.03,81.56,2.27
2,2,2023-08-07,0,2023-08-07,86257,143,940,10,187833,106,1000,879,2.3833333333333333,126,99.84,1.11,44.3,49.8,0.06,87.97,2.1
3,3,2023-08-07,0,2023-08-07,86185,215,845,6,130869,122,1000,878,3.5833333333333335,138,99.75,0.81,49.6,56.2,0.09,87.84,2.31
4,4,2023-08-07,0,2023-08-07,86343,57,803,12,191015,166,1000,621,0.95,113,99.93,1.55,50.8,67.3,0.09,62.11,1.88
5,5,2023-08-07,0,2023-08-07,86265,135,695,5,83470,92,1000,731,2.25,184,99.84,0.75,42.4,49.2,0.11,73.14,3.07
6,6,2023-08-07,0,2023-08-07,86349,51,543,8,147143,106,1000,612,0.85,154,99.94,1.63,37.4,46.5,0.07,61.2,2.57
7,7,2023-08-07,0,2023-08-07,86172,228,1161,15,190678,241,1000,698,3.8,141,99.74,1.36,55.6,63.4,0.13,69.88,2.36
8,8,2023-08-07,0,2023-08-07,86207,193,801,7,175156,166,1000,739,3.216666666666667,175,99.78,0.94,44.7,50.7,0.09,73.96,2.93
9,9,2023-08-07,0,2023-08-07,86201,199,656,4,206721,158,1000,717,3.316666666666667,98,99.77,0.62,40.8,58.7,0.08,71.74,1.65
10,10,2023-08-07,0,2023-08-07,86228,172,843,8,219730,193,1000,664,2.8666666666666667,150,99.8,1.04,34.8,50.7,0.09,66.42,2.51
1,1,2023-08-08,0,2023-08-08,86211,189,738,6,174974,157,1000,699,3.15,90,99.78,0.88,52.7,68.8,0.09,69.99,1.5
2,2,2023-08-08,0,2023-08-08,86335,65,797,5,221257,231,1000,719,1.0833333333333333,115,99.93,0.72,38.5,54.7,0.1,71.98,1.92
3,3,2023-08-08,0,2023-08-08,86373,27,1184,13,228691,207,1000,709,0.45,110,99.97,1.11,43.4,57.4,0.09,70.9,1.84
4,4,2023-08-08,0,2023-08-08,86184,216,698,8,210497,136,1000,624,3.6,119,99.75,1.16,49.8,69.4,0.07,62.48,2.0
5,5,2023-08-08,0,2023-08-08,86400,0,975,9,89358,57,1000,700,0.0,130,100.0,0.97,50.3,60.4,0.06,70.04,2.17
